NAME,C02003_003E,C02003_001E,state,congressional district,num_white,total,percent_white
"Congressional District 2 (113th Congress), Texas",520284,714222,48,02,520284.0,714222.0,72.84625788620345
"Congressional District 4 (113th Congress), Texas",577994,704830,48,04,577994.0,704830.0,82.00473873132529
"Congressional District 6 (113th Congress), Texas",492540,713938,48,06,492540.0,713938.0,68.98918393473943
"Congressional District 7 (113th Congress), Texas",481065,708385,48,07,481065.0,708385.0,67.91010538054871
"Congressional District 8 (113th Congress), Texas",602597,721673,48,08,602597.0,721673.0,83.5000062355111
"Congressional District 1 (113th Congress), Texas",540071,702286,48,01,540071.0,702286.0,76.90186049558157
"Congressional District 9 (113th Congress), Texas",262549,708720,48,09,262549.0,708720.0,37.04551868156677
"Congressional District 10 (113th Congress), Texas",551517,720957,48,10,551517.0,720957.0,76.4979048681128
"Congressional District 11 (113th Congress), Texas",622036,710994,48,11,622036.0,710994.0,87.48822071634922
"Congressional District 12 (113th Congress), Texas",579242,714739,48,12,579242.0,714739.0,81.04245046093749
"Congressional District 13 (113th Congress), Texas",600539,699400,48,13,600539.0,699400.0,85.86488418644552
"Congressional District 14 (113th Congress), Texas",499912,703962,48,14,499912.0,703962.0,71.01406041803394
"Congressional District 15 (113th Congress), Texas",620671,712825,48,15,620671.0,712825.0,87.07200224459018
"Congressional District 16 (113th Congress), Texas",577893,710356,48,16,577893.0,710356.0,81.35258940587536
"Congressional District 17 (113th Congress), Texas",530849,709510,48,17,530849.0,709510.0,74.819100505983
"Congressional District 18 (113th Congress), Texas",326967,710407,48,18,326967.0,710407.0,46.02530662000797
"Congressional District 19 (113th Congress), Texas",578465,703351,48,19,578465.0,703351.0,82.24414268267195
"Congressional District 21 (113th Congress), Texas",617676,714289,48,21,617676.0,714289.0,86.4742422184858
"Congressional District 22 (113th Congress), Texas",461786,725946,48,22,461786.0,725946.0,63.61161849503958
"Congressional District 24 (113th Congress), Texas",491847,720793,48,24,491847.0,720793.0,68.23692793908931
"Congressional District 25 (113th Congress), Texas",605558,718722,48,25,605558.0,718722.0,84.25483010120742
"Congressional District 26 (113th Congress), Texas",588439,725214,48,26,588439.0,725214.0,81.14004969567603
"Congressional District 28 (113th Congress), Texas",608217,710874,48,28,608217.0,710874.0,85.55904421880672
"Congressional District 29 (113th Congress), Texas",503968,715491,48,29,503968.0,715491.0,70.43666517119014
"Congressional District 31 (113th Congress), Texas",553268,719948,48,31,553268.0,719948.0,76.8483279347953
"Congressional District 33 (113th Congress), Texas",425124,706780,48,33,425124.0,706780.0,60.14941000028298
"Congressional District 34 (113th Congress), Texas",630951,705858,48,34,630951.0,705858.0,89.38780887940634
"Congressional District 36 (113th Congress), Texas",567921,709653,48,36,567921.0,709653.0,80.02798550841045
"Congressional District 3 (113th Congress), Texas",530924,724951,48,03,530924.0,724951.0,73.23584628478339
"Congressional District 5 (113th Congress), Texas",534438,705642,48,05,534438.0,705642.0,75.73783873408895
"Congressional District 20 (113th Congress), Texas",555196,713976,48,20,555196.0,713976.0,77.7611572377783
"Congressional District 23 (113th Congress), Texas",597103,713442,48,23,597103.0,713442.0,83.69327850056487
"Congressional District 27 (113th Congress), Texas",594772,704490,48,27,594772.0,704490.0,84.4258967480021
"Congressional District 30 (113th Congress), Texas",296305,709475,48,30,296305.0,709475.0,41.763980408048205
"Congressional District 32 (113th Congress), Texas",455559,709158,48,32,455559.0,709158.0,64.23942196238356
"Congressional District 35 (113th Congress), Texas",490857,714116,48,35,490857.0,714116.0,68.73631174767124
