NAME,C02003_003E,C02003_001E,state,congressional district,num_white,total,percent_white
"Congressional District 29 (116th Congress), Texas",562701,745389,48,29,562701.0,745389.0,75.49091816487767
"Congressional District 27 (116th Congress), Texas",631666,737102,48,27,631666.0,737102.0,85.69587384106948
"Congressional District 14 (116th Congress), Texas",534478,747166,48,14,534478.0,747166.0,71.53403661301505
"Congressional District 5 (116th Congress), Texas",562253,744338,48,05,562253.0,744338.0,75.53732309783996
"Congressional District 10 (116th Congress), Texas",609779,839780,48,10,609779.0,839780.0,72.61175545976327
"Congressional District 35 (116th Congress), Texas",598961,806895,48,35,598961.0,806895.0,74.23035215238662
"Congressional District 22 (116th Congress), Texas",534058,880197,48,22,534058.0,880197.0,60.6748262036794
"Congressional District 19 (116th Congress), Texas",598151,725504,48,19,598151.0,725504.0,82.4462718330981
"Congressional District 28 (116th Congress), Texas",660113,750331,48,28,660113.0,750331.0,87.976239819493
"Congressional District 1 (116th Congress), Texas",554071,718215,48,01,554071.0,718215.0,77.14556226199676
"Congressional District 7 (116th Congress), Texas",523618,785024,48,07,523618.0,785024.0,66.70089067340616
"Congressional District 6 (116th Congress), Texas",506252,773108,48,06,506252.0,773108.0,65.4827009939103
"Congressional District 17 (116th Congress), Texas",576541,764593,48,17,576541.0,764593.0,75.4049540082109
"Congressional District 36 (116th Congress), Texas",608655,736668,48,36,608655.0,736668.0,82.62270113538256
"Congressional District 16 (116th Congress), Texas",594912,737368,48,16,594912.0,737368.0,80.68047433574552
"Congressional District 24 (116th Congress), Texas",509541,789219,48,24,509541.0,789219.0,64.562687923124
"Congressional District 33 (116th Congress), Texas",483934,736783,48,33,483934.0,736783.0,65.68202577963932
"Congressional District 11 (116th Congress), Texas",662771,764038,48,11,662771.0,764038.0,86.74581630756586
"Congressional District 15 (116th Congress), Texas",655138,776971,48,15,655138.0,776971.0,84.319491975891
"Congressional District 23 (116th Congress), Texas",632889,760106,48,23,632889.0,760106.0,83.2632553880643
"Congressional District 12 (116th Congress), Texas",627820,793259,48,12,627820.0,793259.0,79.14439041977462
"Congressional District 8 (116th Congress), Texas",689018,832589,48,08,689018.0,832589.0,82.7560777286272
"Congressional District 34 (116th Congress), Texas",665915,722603,48,34,665915.0,722603.0,92.15502841809403
"Congressional District 30 (116th Congress), Texas",376085,776026,48,30,376085.0,776026.0,48.46293809743488
"Congressional District 18 (116th Congress), Texas",373783,776383,48,18,373783.0,776383.0,48.1441505030378
"Congressional District 2 (116th Congress), Texas",528895,785386,48,02,528895.0,785386.0,67.34204582205437
"Congressional District 20 (116th Congress), Texas",657125,798543,48,20,657125.0,798543.0,82.29049656687242
"Congressional District 31 (116th Congress), Texas",625171,829808,48,31,625171.0,829808.0,75.33923510016774
"Congressional District 25 (116th Congress), Texas",635522,768407,48,25,635522.0,768407.0,82.70643031622565
"Congressional District 32 (116th Congress), Texas",525410,764700,48,32,525410.0,764700.0,68.70799006146201
"Congressional District 21 (116th Congress), Texas",682249,795908,48,21,682249.0,795908.0,85.71958065505059
"Congressional District 3 (116th Congress), Texas",579850,842866,48,03,579850.0,842866.0,68.7950397809379
"Congressional District 4 (116th Congress), Texas",599689,738929,48,04,599689.0,738929.0,81.156511654029
"Congressional District 13 (116th Congress), Texas",604490,710847,48,13,604490.0,710847.0,85.03798989093293
"Congressional District 26 (116th Congress), Texas",662700,848154,48,26,662700.0,848154.0,78.13439540460813
"Congressional District 9 (116th Congress), Texas",286485,781992,48,09,286485.0,781992.0,36.635285271460575
