NAME,C02003_003E,C02003_001E,state,congressional district,num_white,total,percent_white
"Congressional District 6 (115th Congress), Texas",504663,745202,48,06,504663.0,745202.0,67.72163789147105
"Congressional District 1 (115th Congress), Texas",547165,711851,48,01,547165.0,711851.0,76.86510238799974
"Congressional District 3 (115th Congress), Texas",560851,791520,48,03,560851.0,791520.0,70.85746411966849
"Congressional District 5 (115th Congress), Texas",547859,731797,48,05,547859.0,731797.0,74.86488739363512
"Congressional District 7 (115th Congress), Texas",514676,753088,48,07,514676.0,753088.0,68.34207954448883
"Congressional District 9 (115th Congress), Texas",283799,762611,48,09,283799.0,762611.0,37.21412358332098
"Congressional District 11 (115th Congress), Texas",652125,744592,48,11,652125.0,744592.0,87.58152115520983
"Congressional District 12 (115th Congress), Texas",609557,758403,48,12,609557.0,758403.0,80.37375907004586
"Congressional District 14 (115th Congress), Texas",521560,726919,48,14,521560.0,726919.0,71.74939711302085
"Congressional District 16 (115th Congress), Texas",606035,732018,48,16,606035.0,732018.0,82.78963085607185
"Congressional District 17 (115th Congress), Texas",551371,738775,48,17,551371.0,738775.0,74.63314270244662
"Congressional District 19 (115th Congress), Texas",593476,718947,48,19,593476.0,718947.0,82.5479485970454
"Congressional District 21 (115th Congress), Texas",662080,762036,48,21,662080.0,762036.0,86.88303439732506
"Congressional District 22 (115th Congress), Texas",499793,814295,48,22,499793.0,814295.0,61.37738780171805
"Congressional District 24 (115th Congress), Texas",502964,759717,48,24,502964.0,759717.0,66.20412601008006
"Congressional District 26 (115th Congress), Texas",634429,796179,48,26,634429.0,796179.0,79.6842167402054
"Congressional District 28 (115th Congress), Texas",646029,735440,48,28,646029.0,735440.0,87.8425160448167
"Congressional District 29 (115th Congress), Texas",542786,729879,48,29,542786.0,729879.0,74.3665730895121
"Congressional District 31 (115th Congress), Texas",597520,782478,48,31,597520.0,782478.0,76.36253032034126
"Congressional District 33 (115th Congress), Texas",480537,719958,48,33,480537.0,719958.0,66.74514346670223
"Congressional District 34 (115th Congress), Texas",657337,718321,48,34,657337.0,718321.0,91.51020226333353
"Congressional District 36 (115th Congress), Texas",592372,724245,48,36,592372.0,724245.0,81.79165889995788
"Congressional District 2 (115th Congress), Texas",526508,758738,48,02,526508.0,758738.0,69.39259665391742
"Congressional District 4 (115th Congress), Texas",588524,721526,48,04,588524.0,721526.0,81.56656863370135
"Congressional District 8 (115th Congress), Texas",647006,782315,48,08,647006.0,782315.0,82.70402587193139
"Congressional District 10 (115th Congress), Texas",592915,783310,48,10,592915.0,783310.0,75.69353129667692
"Congressional District 13 (115th Congress), Texas",606513,707120,48,13,606513.0,707120.0,85.77228758909379
"Congressional District 15 (115th Congress), Texas",648800,753132,48,15,648800.0,753132.0,86.14691714068717
"Congressional District 18 (115th Congress), Texas",352444,749983,48,18,352444.0,749983.0,46.99359852156649
"Congressional District 20 (115th Congress), Texas",612408,762155,48,20,612408.0,762155.0,80.35215933766754
"Congressional District 23 (115th Congress), Texas",619814,741364,48,23,619814.0,741364.0,83.6045451357228
"Congressional District 25 (115th Congress), Texas",625648,746615,48,25,625648.0,746615.0,83.79794137540767
"Congressional District 27 (115th Congress), Texas",616787,726807,48,27,616787.0,726807.0,84.86255635952872
"Congressional District 30 (115th Congress), Texas",346938,745784,48,30,346938.0,745784.0,46.51990388637997
"Congressional District 32 (115th Congress), Texas",498543,742056,48,32,498543.0,742056.0,67.1840130663993
"Congressional District 35 (115th Congress), Texas",582571,777259,48,35,582571.0,777259.0,74.95197868406798
