NAME,C02003_003E,state,zip code tabulation area,GEOID,percent
ZCTA5 77327,19332,48,77327,4877327,19.332
ZCTA5 77334,92,48,77334,4877334,0.092
ZCTA5 77304,26855,48,77304,4877304,26.855
ZCTA5 77306,12099,48,77306,4877306,12.099
ZCTA5 77331,6316,48,77331,4877331,6.316
ZCTA5 77011,14621,48,77011,4877011,14.621
ZCTA5 77012,12815,48,77012,4877012,12.815
ZCTA5 77013,14125,48,77013,4877013,14.125
ZCTA5 77449,73338,48,77449,4877449,73.338
ZCTA5 77450,53551,48,77450,4877450,53.551
ZCTA5 77456,1002,48,77456,4877456,1.002
ZCTA5 77459,31154,48,77459,4877459,31.154
ZCTA5 77476,110,48,77476,4877476,0.11
ZCTA5 75656,3418,48,75656,4875656,3.418
ZCTA5 75667,966,48,75667,4875667,0.966
ZCTA5 75672,12050,48,75672,4875672,12.05
ZCTA5 75243,28667,48,75243,4875243,28.667
ZCTA5 75246,1566,48,75246,4875246,1.566
ZCTA5 75249,5541,48,75249,4875249,5.541
ZCTA5 75413,231,48,75413,4875413,0.231
ZCTA5 75417,2576,48,75417,4875417,2.576
ZCTA5 75423,2598,48,75423,4875423,2.598
ZCTA5 75426,2801,48,75426,4875426,2.801
ZCTA5 75436,1836,48,75436,4875436,1.836
ZCTA5 75439,1017,48,75439,4875439,1.017
ZCTA5 75457,5485,48,75457,4875457,5.485
ZCTA5 75002,52582,48,75002,4875002,52.582
ZCTA5 75010,16282,48,75010,4875010,16.282
ZCTA5 75023,35504,48,75023,4875023,35.504
ZCTA5 75042,26074,48,75042,4875042,26.074
ZCTA5 75075,28139,48,75075,4875075,28.139
ZCTA5 75114,5766,48,75114,4875114,5.766
ZCTA5 75135,6851,48,75135,4875135,6.851
ZCTA5 75143,13516,48,75143,4875143,13.516
ZCTA5 75144,2346,48,75144,4875144,2.346
ZCTA5 75152,4350,48,75152,4875152,4.35
ZCTA5 75163,2626,48,75163,4875163,2.626
ZCTA5 75165,34373,48,75165,4875165,34.373
ZCTA5 75173,3720,48,75173,4875173,3.72
ZCTA5 75182,3870,48,75182,4875182,3.87
ZCTA5 75204,22056,48,75204,4875204,22.056
ZCTA5 75216,20568,48,75216,4875216,20.568
ZCTA5 75217,60740,48,75217,4875217,60.74
ZCTA5 75220,38658,48,75220,4875220,38.658
ZCTA5 75224,25134,48,75224,4875224,25.134
ZCTA5 75238,23153,48,75238,4875238,23.153
ZCTA5 75422,2870,48,75422,4875422,2.87
ZCTA5 75428,7116,48,75428,4875428,7.116
ZCTA5 75433,2507,48,75433,4875433,2.507
ZCTA5 75134,4924,48,75134,4875134,4.924
ZCTA5 75226,3471,48,75226,4875226,3.471
ZCTA5 75969,3569,48,75969,4875969,3.569
ZCTA5 75125,5110,48,75125,4875125,5.11
ZCTA5 75094,12023,48,75094,4875094,12.023
ZCTA5 75227,39945,48,75227,4875227,39.945
ZCTA5 75414,2634,48,75414,4875414,2.634
ZCTA5 75440,5853,48,75440,4875440,5.853
ZCTA5 75558,1187,48,75558,4875558,1.187
ZCTA5 75751,13280,48,75751,4875751,13.28
ZCTA5 75929,1636,48,75929,4875929,1.636
ZCTA5 75148,5001,48,75148,4875148,5.001
ZCTA5 75231,22378,48,75231,4875231,22.378
ZCTA5 75448,607,48,75448,4875448,0.607
ZCTA5 75792,2131,48,75792,4875792,2.131
ZCTA5 75846,2768,48,75846,4875846,2.768
ZCTA5 75860,5552,48,75860,4875860,5.552
ZCTA5 75931,1743,48,75931,4875931,1.743
ZCTA5 75935,10884,48,75935,4875935,10.884
ZCTA5 75942,150,48,75942,4875942,0.15
ZCTA5 75951,10081,48,75951,4875951,10.081
ZCTA5 75978,143,48,75978,4875978,0.143
ZCTA5 75979,9129,48,75979,4875979,9.129
ZCTA5 75938,2718,48,75938,4875938,2.718
ZCTA5 75851,3431,48,75851,4875851,3.431
ZCTA5 75949,6996,48,75949,4875949,6.996
ZCTA5 75054,5030,48,75054,4875054,5.03
ZCTA5 75071,40624,48,75071,4875071,40.624
ZCTA5 75109,4042,48,75109,4875109,4.042
ZCTA5 75156,15241,48,75156,4875156,15.241
ZCTA5 75157,185,48,75157,4875157,0.185
ZCTA5 75254,9648,48,75254,4875254,9.648
ZCTA5 75390,0,48,75390,4875390,0.0
ZCTA5 75642,71,48,75642,4875642,0.071
ZCTA5 75645,9025,48,75645,4875645,9.025
ZCTA5 75682,484,48,75682,4875682,0.484
ZCTA5 75752,6752,48,75752,4875752,6.752
ZCTA5 75779,49,48,75779,4875779,0.049
ZCTA5 75780,238,48,75780,4875780,0.238
ZCTA5 75803,16836,48,75803,4875803,16.836
ZCTA5 75832,46,48,75832,4875832,0.046
ZCTA5 75962,2370,48,75962,4875962,2.37
ZCTA5 75784,728,48,75784,4875784,0.728
ZCTA5 75438,842,48,75438,4875438,0.842
ZCTA5 75974,2530,48,75974,4875974,2.53
ZCTA5 75976,513,48,75976,4875976,0.513
ZCTA5 75965,14115,48,75965,4875965,14.115
ZCTA5 77480,6964,48,77480,4877480,6.964
ZCTA5 77505,21286,48,77505,4877505,21.286
ZCTA5 77515,25224,48,77515,4877515,25.224
ZCTA5 77519,1129,48,77519,4877519,1.129
ZCTA5 77531,13123,48,77531,4877531,13.123
ZCTA5 77534,2180,48,77534,4877534,2.18
ZCTA5 77536,29876,48,77536,4877536,29.876
ZCTA5 77538,820,48,77538,4877538,0.82
ZCTA5 77546,43610,48,77546,4877546,43.61
ZCTA5 77563,8480,48,77563,4877563,8.48
ZCTA5 77581,38811,48,77581,4877581,38.811
ZCTA5 77583,21185,48,77583,4877583,21.185
ZCTA5 77587,13067,48,77587,4877587,13.067
ZCTA5 77616,548,48,77616,4877616,0.548
ZCTA5 77624,502,48,77624,4877624,0.502
ZCTA5 77640,4887,48,77640,4877640,4.887
ZCTA5 77662,25286,48,77662,4877662,25.286
ZCTA5 77665,5738,48,77665,4877665,5.738
ZCTA5 75421,339,48,75421,4875421,0.339
ZCTA5 75453,2546,48,75453,4875453,2.546
ZCTA5 75252,14350,48,75252,4875252,14.35
ZCTA5 75253,18491,48,75253,4875253,18.491
ZCTA5 75287,26698,48,75287,4875287,26.698
ZCTA5 75409,12820,48,75409,4875409,12.82
ZCTA5 75411,1171,48,75411,4875411,1.171
ZCTA5 75416,2901,48,75416,4875416,2.901
ZCTA5 75441,122,48,75441,4875441,0.122
ZCTA5 75446,2806,48,75446,4875446,2.806
ZCTA5 75474,13092,48,75474,4875474,13.092
ZCTA5 75477,987,48,75477,4875477,0.987
ZCTA5 75492,388,48,75492,4875492,0.388
ZCTA5 75561,4333,48,75561,4875561,4.333
ZCTA5 75565,154,48,75565,4875565,0.154
ZCTA5 75572,3164,48,75572,4875572,3.164
ZCTA5 75605,24310,48,75605,4875605,24.31
ZCTA5 75639,2040,48,75639,4875639,2.04
ZCTA5 75670,8966,48,75670,4875670,8.966
ZCTA5 75684,6301,48,75684,4875684,6.301
ZCTA5 75692,3499,48,75692,4875692,3.499
ZCTA5 75708,7010,48,75708,4875708,7.01
ZCTA5 75750,2849,48,75750,4875750,2.849
ZCTA5 75759,15,48,75759,4875759,0.015
ZCTA5 75778,3042,48,75778,4875778,3.042
ZCTA5 75035,42741,48,75035,4875035,42.741
ZCTA5 75038,9910,48,75038,4875038,9.91
ZCTA5 75051,29872,48,75051,4875051,29.872
ZCTA5 75060,30844,48,75060,4875060,30.844
ZCTA5 75856,98,48,75856,4875856,0.098
ZCTA5 75024,22328,48,75024,4875024,22.328
ZCTA5 75028,37754,48,75028,4875028,37.754
ZCTA5 75039,7953,48,75039,4875039,7.953
ZCTA5 75041,23546,48,75041,4875041,23.546
ZCTA5 75043,36227,48,75043,4875043,36.227
ZCTA5 75056,42043,48,75056,4875056,42.043
ZCTA5 75076,7419,48,75076,4875076,7.419
ZCTA5 75102,993,48,75102,4875102,0.993
ZCTA5 75082,15447,48,75082,4875082,15.447
ZCTA5 75093,33937,48,75093,4875093,33.937
ZCTA5 75103,13281,48,75103,4875103,13.281
ZCTA5 75116,13053,48,75116,4875116,13.053
ZCTA5 75117,3453,48,75117,4875117,3.453
