NAME,C02003_003E,C02003_001E,state,congressional district,num_white,total,percent_white
"Congressional District 1 (114th Congress), Texas",544512,707224,48,01,544512.0,707224.0,76.99286223318214
"Congressional District 2 (114th Congress), Texas",518493,727414,48,02,518493.0,727414.0,71.27894156560089
"Congressional District 4 (114th Congress), Texas",579463,709974,48,04,579463.0,709974.0,81.61749585196077
"Congressional District 6 (114th Congress), Texas",500187,722690,48,06,500187.0,722690.0,69.2118335662594
"Congressional District 7 (114th Congress), Texas",494581,727295,48,07,494581.0,727295.0,68.0028049140995
"Congressional District 9 (114th Congress), Texas",265459,726971,48,09,265459.0,726971.0,36.515761976750106
"Congressional District 11 (114th Congress), Texas",631227,721014,48,11,631227.0,721014.0,87.54712113773103
"Congressional District 12 (114th Congress), Texas",590063,728496,48,12,590063.0,728496.0,80.99742483143353
"Congressional District 14 (114th Congress), Texas",508428,711271,48,14,508428.0,711271.0,71.48161530555865
"Congressional District 16 (114th Congress), Texas",589554,719126,48,16,589554.0,719126.0,81.98201705959734
"Congressional District 17 (114th Congress), Texas",540817,719609,48,17,540817.0,719609.0,75.15428517430995
"Congressional District 19 (114th Congress), Texas",583735,708764,48,19,583735.0,708764.0,82.35957243878075
"Congressional District 21 (114th Congress), Texas",635155,730229,48,21,635155.0,730229.0,86.98024866172118
"Congressional District 22 (114th Congress), Texas",474996,754107,48,22,474996.0,754107.0,62.98787837800206
"Congressional District 24 (114th Congress), Texas",498763,733485,48,24,498763.0,733485.0,67.99907291900993
"Congressional District 26 (114th Congress), Texas",602217,746163,48,26,602217.0,746163.0,80.70850471009685
"Congressional District 32 (114th Congress), Texas",468119,720276,48,32,468119.0,720276.0,64.99161432561962
"Congressional District 27 (114th Congress), Texas",604120,711777,48,27,604120.0,711777.0,84.87489761540482
"Congressional District 29 (114th Congress), Texas",512974,722730,48,29,512974.0,722730.0,70.97726675245251
"Congressional District 31 (114th Congress), Texas",568728,739671,48,31,568728.0,739671.0,76.88931971106074
"Congressional District 34 (114th Congress), Texas",644567,712594,48,34,644567.0,712594.0,90.45361033070725
"Congressional District 36 (114th Congress), Texas",575335,715087,48,36,575335.0,715087.0,80.45664373705577
"Congressional District 3 (114th Congress), Texas",541405,747659,48,03,541405.0,747659.0,72.41335956632636
"Congressional District 5 (114th Congress), Texas",539591,715045,48,05,539591.0,715045.0,75.46252333769203
"Congressional District 8 (114th Congress), Texas",616849,740003,48,08,616849.0,740003.0,83.35763503661472
"Congressional District 10 (114th Congress), Texas",568367,739999,48,10,568367.0,739999.0,76.8064551438583
"Congressional District 13 (114th Congress), Texas",604959,702742,48,13,604959.0,702742.0,86.08550506444756
"Congressional District 15 (114th Congress), Texas",644942,727807,48,15,644942.0,727807.0,88.61442662683926
"Congressional District 18 (114th Congress), Texas",335342,723033,48,18,335342.0,723033.0,46.37990243875452
"Congressional District 20 (114th Congress), Texas",575263,729581,48,20,575263.0,729581.0,78.84840751061225
"Congressional District 23 (114th Congress), Texas",610504,725712,48,23,610504.0,725712.0,84.1248318892343
"Congressional District 25 (114th Congress), Texas",609847,727461,48,25,609847.0,727461.0,83.83226042358285
"Congressional District 28 (114th Congress), Texas",624620,721585,48,28,624620.0,721585.0,86.56222066700388
"Congressional District 30 (114th Congress), Texas",312309,721420,48,30,312309.0,721420.0,43.29087078262316
"Congressional District 33 (114th Congress), Texas",456161,716203,48,33,456161.0,716203.0,63.69157906347781
"Congressional District 35 (114th Congress), Texas",527453,737816,48,35,527453.0,737816.0,71.48841987704252
