NAME,C02003_003E,C02003_001E,state,congressional district,num_white,total,percent_white
"Congressional District 2 (113th Congress), Texas",515153,701651,48,02,515153.0,701651.0,73.4201191190492
"Congressional District 4 (113th Congress), Texas",572802,698874,48,04,572802.0,698874.0,81.96069677795997
"Congressional District 6 (113th Congress), Texas",484468,701639,48,06,484468.0,701639.0,69.0480432245072
"Congressional District 7 (113th Congress), Texas",474293,693940,48,07,474293.0,693940.0,68.34783987088221
"Congressional District 8 (113th Congress), Texas",588135,702877,48,08,588135.0,702877.0,83.67537990288486
"Congressional District 1 (113th Congress), Texas",533441,697409,48,01,533441.0,697409.0,76.48897562262603
"Congressional District 9 (113th Congress), Texas",257897,696093,48,09,257897.0,696093.0,37.04921612485688
"Congressional District 10 (113th Congress), Texas",532789,700290,48,10,532789.0,700290.0,76.08119493352754
"Congressional District 11 (113th Congress), Texas",614629,700913,48,11,614629.0,700913.0,87.68977034239627
"Congressional District 12 (113th Congress), Texas",567289,702780,48,12,567289.0,702780.0,80.72070918352827
"Congressional District 13 (113th Congress), Texas",595471,696227,48,13,595471.0,696227.0,85.52828316052093
"Congressional District 14 (113th Congress), Texas",492819,698453,48,14,492819.0,698453.0,70.55864889978281
"Congressional District 15 (113th Congress), Texas",595317,699720,48,15,595317.0,699720.0,85.07931744126222
"Congressional District 16 (113th Congress), Texas",565162,700636,48,16,565162.0,700636.0,80.66413943902397
"Congressional District 17 (113th Congress), Texas",522770,698943,48,17,522770.0,698943.0,74.79436806721006
"Congressional District 18 (113th Congress), Texas",318086,699151,48,18,318086.0,699151.0,45.49603733671267
"Congressional District 19 (113th Congress), Texas",571365,696631,48,19,571365.0,696631.0,82.01831385625962
"Congressional District 21 (113th Congress), Texas",602273,699328,48,21,602273.0,699328.0,86.12167680973735
"Congressional District 22 (113th Congress), Texas",449490,701617,48,22,449490.0,701617.0,64.06486729939553
"Congressional District 24 (113th Congress), Texas",489467,709601,48,24,489467.0,709601.0,68.97777765251176
"Congressional District 25 (113th Congress), Texas",593814,707356,48,25,593814.0,707356.0,83.94839373667573
"Congressional District 26 (113th Congress), Texas",565872,701860,48,26,565872.0,701860.0,80.62462599378793
"Congressional District 28 (113th Congress), Texas",593440,699387,48,28,593440.0,699387.0,84.85144848274274
"Congressional District 29 (113th Congress), Texas",478329,705502,48,29,478329.0,705502.0,67.79980779643431
"Congressional District 31 (113th Congress), Texas",537441,700127,48,31,537441.0,700127.0,76.76335864778818
"Congressional District 33 (113th Congress), Texas",417013,699449,48,33,417013.0,699449.0,59.620215340932646
"Congressional District 34 (113th Congress), Texas",614831,697106,48,34,614831.0,697106.0,88.19763421918618
"Congressional District 36 (113th Congress), Texas",562274,703394,48,36,562274.0,703394.0,79.93727555253528
"Congressional District 3 (113th Congress), Texas",520820,705386,48,03,520820.0,705386.0,73.83475146940825
"Congressional District 5 (113th Congress), Texas",529951,697630,48,05,529951.0,697630.0,75.96447973854336
"Congressional District 20 (113th Congress), Texas",541046,698432,48,20,541046.0,698432.0,77.4658091267296
"Congressional District 23 (113th Congress), Texas",584722,698454,48,23,584722.0,698454.0,83.71660839511263
"Congressional District 27 (113th Congress), Texas",591711,699518,48,27,591711.0,699518.0,84.58838800431154
"Congressional District 30 (113th Congress), Texas",282793,698041,48,30,282793.0,698041.0,40.51237678016047
"Congressional District 32 (113th Congress), Texas",456020,699282,48,32,456020.0,699282.0,65.21260378502521
"Congressional District 35 (113th Congress), Texas",457574,701200,48,35,457574.0,701200.0,65.25584711922419
