NAME,C02003_003E,C02003_001E,state,congressional district,num_white,total,percent_white
"Congressional District 1 (114th Congress), Texas",547086,709646,48,01,547086.0,709646.0,77.09280401777788
"Congressional District 2 (114th Congress), Texas",522168,745283,48,02,522168.0,745283.0,70.06304987501392
"Congressional District 4 (114th Congress), Texas",582394,714953,48,04,582394.0,714953.0,81.45906094526494
"Congressional District 6 (114th Congress), Texas",500579,732310,48,06,500579.0,732310.0,68.35616064235091
"Congressional District 7 (114th Congress), Texas",507987,742386,48,07,507987.0,742386.0,68.42626342630383
"Congressional District 9 (114th Congress), Texas",274663,741226,48,09,274663.0,741226.0,37.05523011874921
"Congressional District 11 (114th Congress), Texas",641878,733162,48,11,641878.0,733162.0,87.54927287557183
"Congressional District 12 (114th Congress), Texas",601006,742964,48,12,601006.0,742964.0,80.89301769668516
"Congressional District 14 (114th Congress), Texas",513978,717656,48,14,513978.0,717656.0,71.61899294369447
"Congressional District 16 (114th Congress), Texas",602470,728187,48,16,602470.0,728187.0,82.73561598875014
"Congressional District 17 (114th Congress), Texas",545976,727840,48,17,545976.0,727840.0,75.01318971202463
"Congressional District 19 (114th Congress), Texas",589181,713951,48,19,589181.0,713951.0,82.52401075143813
"Congressional District 21 (114th Congress), Texas",648532,746822,48,21,648532.0,746822.0,86.83889869339681
"Congressional District 22 (114th Congress), Texas",488990,786002,48,22,488990.0,786002.0,62.212309892341246
"Congressional District 24 (114th Congress), Texas",502113,747381,48,24,502113.0,747381.0,67.18300304663887
"Congressional District 26 (114th Congress), Texas",618279,771286,48,26,618279.0,771286.0,80.16209292013599
"Congressional District 27 (114th Congress), Texas",611718,719002,48,27,611718.0,719002.0,85.07876195059264
"Congressional District 29 (114th Congress), Texas",529916,730411,48,29,529916.0,730411.0,72.55038601554467
"Congressional District 31 (114th Congress), Texas",581737,759528,48,31,581737.0,759528.0,76.59190971234767
"Congressional District 32 (114th Congress), Texas",483757,732953,48,32,483757.0,732953.0,66.00109420385755
"Congressional District 34 (114th Congress), Texas",651290,717149,48,34,651290.0,717149.0,90.81655276657989
"Congressional District 36 (114th Congress), Texas",581245,719530,48,36,581245.0,719530.0,80.78120439731491
"Congressional District 3 (114th Congress), Texas",551284,770105,48,03,551284.0,770105.0,71.58556300764182
"Congressional District 5 (114th Congress), Texas",544077,724157,48,05,544077.0,724157.0,75.13246436891447
"Congressional District 8 (114th Congress), Texas",630560,759942,48,08,630560.0,759942.0,82.97475333643884
"Congressional District 10 (114th Congress), Texas",580287,760755,48,10,580287.0,760755.0,76.27777668237474
"Congressional District 13 (114th Congress), Texas",606653,705632,48,13,606653.0,705632.0,85.97300009069883
"Congressional District 15 (114th Congress), Texas",652561,740657,48,15,652561.0,740657.0,88.10569534885919
"Congressional District 18 (114th Congress), Texas",344653,736283,48,18,344653.0,736283.0,46.809854363064204
"Congressional District 20 (114th Congress), Texas",596342,749530,48,20,596342.0,749530.0,79.56212559870852
"Congressional District 23 (114th Congress), Texas",616869,730817,48,23,616869.0,730817.0,84.40813500506967
"Congressional District 25 (114th Congress), Texas",619001,738761,48,25,619001.0,738761.0,83.78907386827404
"Congressional District 28 (114th Congress), Texas",638674,730332,48,28,638674.0,730332.0,87.44981734334522
"Congressional District 30 (114th Congress), Texas",330115,733277,48,30,330115.0,733277.0,45.01914010667183
"Congressional District 33 (114th Congress), Texas",479360,720668,48,33,479360.0,720668.0,66.51606565020232
"Congressional District 35 (114th Congress), Texas",557231,758070,48,35,557231.0,758070.0,73.50653633569459
