NAME,C02003_003E,C02003_001E,state,congressional district,num_white,total,percent_white
"Congressional District 6 (115th Congress), Texas",506399,759949,48,06,506399.0,759949.0,66.6359189893006
"Congressional District 1 (115th Congress), Texas",549671,713841,48,01,549671.0,713841.0,77.0018813713418
"Congressional District 3 (115th Congress), Texas",571436,816143,48,03,571436.0,816143.0,70.01665149367207
"Congressional District 5 (115th Congress), Texas",559064,740618,48,05,559064.0,740618.0,75.48614805473267
"Congressional District 7 (115th Congress), Texas",522636,770276,48,07,522636.0,770276.0,67.85048476130633
"Congressional District 9 (115th Congress), Texas",291081,780017,48,09,291081.0,780017.0,37.31726359810107
"Congressional District 11 (115th Congress), Texas",653362,753479,48,11,653362.0,753479.0,86.71270201292936
"Congressional District 12 (115th Congress), Texas",614427,773234,48,12,614427.0,773234.0,79.46197399493555
"Congressional District 14 (115th Congress), Texas",528814,737708,48,14,528814.0,737708.0,71.68337607833995
"Congressional District 16 (115th Congress), Texas",598274,734516,48,16,598274.0,734516.0,81.45145919217552
"Congressional District 17 (115th Congress), Texas",560975,750555,48,17,560975.0,750555.0,74.741358061701
"Congressional District 19 (115th Congress), Texas",596653,721822,48,19,596653.0,721822.0,82.65929827575219
"Congressional District 21 (115th Congress), Texas",673521,777686,48,21,673521.0,777686.0,86.60577662449883
"Congressional District 22 (115th Congress), Texas",518852,844913,48,22,518852.0,844913.0,61.40892612612186
"Congressional District 24 (115th Congress), Texas",505341,774968,48,24,505341.0,774968.0,65.20798278122452
"Congressional District 26 (115th Congress), Texas",649780,823749,48,26,649780.0,823749.0,78.88082413453613
"Congressional District 28 (115th Congress), Texas",651785,742188,48,28,651785.0,742188.0,87.81939346904018
"Congressional District 29 (115th Congress), Texas",561816,740295,48,29,561816.0,740295.0,75.89082730533099
"Congressional District 31 (115th Congress), Texas",611134,806513,48,31,611134.0,806513.0,75.77484801856883
"Congressional District 33 (115th Congress), Texas",480517,727777,48,33,480517.0,727777.0,66.0253072026184
"Congressional District 34 (115th Congress), Texas",663236,720989,48,34,663236.0,720989.0,91.98975296433093
"Congressional District 36 (115th Congress), Texas",598929,726915,48,36,598929.0,726915.0,82.39326468706794
"Congressional District 15 (115th Congress), Texas",649873,764749,48,15,649873.0,764749.0,84.97860082196904
"Congressional District 18 (115th Congress), Texas",363675,766074,48,18,363675.0,766074.0,47.47256792424753
"Congressional District 20 (115th Congress), Texas",636273,776926,48,20,636273.0,776926.0,81.89621662809586
"Congressional District 23 (115th Congress), Texas",624629,752067,48,23,624629.0,752067.0,83.0549671771265
"Congressional District 25 (115th Congress), Texas",632594,755821,48,25,632594.0,755821.0,83.69627200091027
"Congressional District 27 (115th Congress), Texas",625130,732212,48,27,625130.0,732212.0,85.37554697273467
"Congressional District 30 (115th Congress), Texas",362638,760204,48,30,362638.0,760204.0,47.702721900963425
"Congressional District 32 (115th Congress), Texas",510323,752654,48,32,510323.0,752654.0,67.80313397656825
"Congressional District 35 (115th Congress), Texas",595624,795361,48,35,595624.0,795361.0,74.88725245517445
"Congressional District 2 (115th Congress), Texas",525421,767312,48,02,525421.0,767312.0,68.4755353754405
"Congressional District 4 (115th Congress), Texas",592784,728435,48,04,592784.0,728435.0,81.37774818617997
"Congressional District 8 (115th Congress), Texas",667072,807525,48,08,667072.0,807525.0,82.60697811213275
"Congressional District 10 (115th Congress), Texas",601853,813505,48,10,601853.0,813505.0,73.98270447016306
"Congressional District 13 (115th Congress), Texas",603933,708616,48,13,603933.0,708616.0,85.22711877801235
